Week,Activity
2016-01-03,24
2016-01-10,23
2016-01-17,16
2016-01-24,36
2016-01-31,31
2016-02-07,19
2016-02-14,4
2016-02-21,23
2016-02-28,12
2016-03-06,12
2016-03-13,16
2016-03-20,16
2016-03-27,16
2016-04-03,20
2016-04-10,12
2016-04-17,35
2016-04-24,15
2016-05-01,12
2016-05-08,8
2016-05-15,20
2016-05-22,8
2016-05-29,17
2016-06-05,8
2016-06-12,20
2016-06-19,17
2016-06-26,38
2016-07-03,22
2016-07-10,4
2016-07-17,8
2016-07-24,12
2016-07-31,34
2016-08-07,18
2016-08-14,0
2016-08-21,0
2016-08-28,12
2016-09-04,12
2016-09-11,4
2016-09-18,8
2016-09-25,4
2016-10-02,4
2016-10-09,16
2016-10-16,0
2016-10-23,12
2016-10-30,15
2016-11-06,15
2016-11-13,0
2016-11-20,8
2016-11-27,4
2016-12-04,7
2016-12-11,55
2016-12-18,40
2016-12-25,8
2017-01-01,15
2017-01-08,15
2017-01-15,22
2017-01-22,11
2017-01-29,18
2017-02-05,24
2017-02-12,28
2017-02-19,14
2017-02-26,10
2017-03-05,14
2017-03-12,25
2017-03-19,11
2017-03-26,4
2017-04-02,21
2017-04-09,18
2017-04-16,7
2017-04-23,18
2017-04-30,18
2017-05-07,11
2017-05-14,8
2017-05-21,4
2017-05-28,20
2017-06-04,4
2017-06-11,8
2017-06-18,0
2017-06-25,12
2017-07-02,0
2017-07-09,16
2017-07-16,12
2017-07-23,16
2017-07-30,15
2017-08-06,23
2017-08-13,19
2017-08-20,15
2017-08-27,19
2017-09-03,29
2017-09-10,25
2017-09-17,4
2017-09-24,11
2017-10-01,4
2017-10-08,11
2017-10-15,7
2017-10-22,4
2017-10-29,0
2017-11-05,35
2017-11-12,14
2017-11-19,0
2017-11-26,7
2017-12-03,14
2017-12-10,11
2017-12-17,4
2017-12-24,4
2017-12-31,11
2018-01-07,14
2018-01-14,7
2018-01-21,14
2018-01-28,10
2018-02-04,17
2018-02-11,17
2018-02-18,0
2018-02-25,17
2018-03-04,3
2018-03-11,7
2018-03-18,10
2018-03-25,18
2018-04-01,14
2018-04-08,10
2018-04-15,14
2018-04-22,10
2018-04-29,3
2018-05-06,10
2018-05-13,7
2018-05-20,4
2018-05-27,0
2018-06-03,7
2018-06-10,14
2018-06-17,15
2018-06-24,19
2018-07-01,8
2018-07-08,33
2018-07-15,7
2018-07-22,4
2018-07-29,7
2018-08-05,18
2018-08-12,4
2018-08-19,4
2018-08-26,14
2018-09-02,18
2018-09-09,14
2018-09-16,21
2018-09-23,21
2018-09-30,7
2018-10-07,14
2018-10-14,7
2018-10-21,11
2018-10-28,39
2018-11-04,47
2018-11-11,7
2018-11-18,11
2018-11-25,3
2018-12-02,0
2018-12-09,3
2018-12-16,4
2018-12-23,4
2018-12-30,4
2019-01-06,7
2019-01-13,7
2019-01-20,3
2019-01-27,24
2019-02-03,10
2019-02-10,3
2019-02-17,7
2019-02-24,10
2019-03-03,0
2019-03-10,7
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,7
2019-04-14,0
2019-04-21,4
2019-04-28,3
2019-05-05,0
2019-05-12,4
2019-05-19,18
2019-05-26,0
2019-06-02,10
2019-06-09,0
2019-06-16,11
2019-06-23,11
2019-06-30,4
2019-07-07,4
2019-07-14,7
2019-07-21,18
2019-07-28,7
2019-08-04,11
2019-08-11,11
2019-08-18,3
2019-08-25,7
2019-09-01,7
2019-09-08,7
2019-09-15,19
2019-09-22,3
2019-09-29,10
2019-10-06,17
2019-10-13,10
2019-10-20,3
2019-10-27,0
2019-11-03,13
2019-11-10,6
2019-11-17,0
2019-11-24,3
2019-12-01,6
2019-12-08,6
2019-12-15,16
2019-12-22,7
2019-12-29,3
2020-01-05,6
2020-01-12,12
2020-01-19,6
2020-01-26,3
2020-02-02,6
2020-02-09,6
2020-02-16,22
2020-02-23,12
2020-03-01,3
2020-03-08,18
2020-03-15,11
2020-03-22,3
2020-03-29,8
2020-04-05,6
2020-04-12,5
2020-04-19,5
2020-04-26,5
2020-05-03,8
2020-05-10,11
2020-05-17,0
2020-05-24,3
2020-05-31,11
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,12
2020-07-05,6
2020-07-12,12
2020-07-19,9
2020-07-26,6
2020-08-02,12
2020-08-09,24
2020-08-16,21
2020-08-23,15
2020-08-30,11
2020-09-06,15
2020-09-13,34
2020-09-20,34
2020-09-27,28
2020-10-04,60
2020-10-11,31
2020-10-18,35
2020-10-25,28
2020-11-01,17
2020-11-08,62
2020-11-15,27
2020-11-22,21
2020-11-29,56
2020-12-06,72
2020-12-13,23
2020-12-20,100
