Month,Activity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,40
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,15
2005-02,0
2005-03,0
2005-04,0
2005-05,13
2005-06,0
2005-07,14
2005-08,13
2005-09,0
2005-10,0
2005-11,11
2005-12,0
2006-01,0
2006-02,0
2006-03,9
2006-04,9
2006-05,18
2006-06,9
2006-07,0
2006-08,8
2006-09,25
2006-10,15
2006-11,15
2006-12,8
2007-01,13
2007-02,7
2007-03,13
2007-04,13
2007-05,6
2007-06,6
2007-07,6
2007-08,6
2007-09,17
2007-10,20
2007-11,41
2007-12,26
2008-01,23
2008-02,48
2008-03,37
2008-04,23
2008-05,42
2008-06,29
2008-07,55
2008-08,33
2008-09,44
2008-10,47
2008-11,36
2008-12,25
2009-01,24
2009-02,47
2009-03,38
2009-04,31
2009-05,16
2009-06,44
2009-07,12
2009-08,31
2009-09,34
2009-10,43
2009-11,47
2009-12,18
2010-01,20
2010-02,56
2010-03,63
2010-04,27
2010-05,31
2010-06,28
2010-07,39
2010-08,61
2010-09,42
2010-10,100
2010-11,51
2010-12,46
2011-01,48
2011-02,50
2011-03,49
2011-04,32
2011-05,42
2011-06,41
2011-07,19
2011-08,43
2011-09,31
2011-10,42
2011-11,30
2011-12,29
2012-01,30
2012-02,20
2012-03,21
2012-04,17
2012-05,15
2012-06,22
2012-07,18
2012-08,22
2012-09,19
2012-10,26
2012-11,16
2012-12,4
2013-01,25
2013-02,25
2013-03,18
2013-04,27
2013-05,12
2013-06,17
2013-07,11
2013-08,16
2013-09,22
2013-10,24
2013-11,29
2013-12,25
2014-01,16
2014-02,26
2014-03,31
2014-04,19
2014-05,15
2014-06,20
2014-07,21
2014-08,30
2014-09,20
2014-10,22
2014-11,22
2014-12,21
2015-01,32
2015-02,16
2015-03,31
2015-04,24
2015-05,32
2015-06,24
2015-07,27
2015-08,31
2015-09,27
2015-10,45
2015-11,19
2015-12,36
2016-01,30
2016-02,32
2016-03,22
2016-04,28
2016-05,29
2016-06,31
2016-07,21
2016-08,26
2016-09,25
2016-10,25
2016-11,24
2016-12,23
2017-01,22
2017-02,26
2017-03,19
2017-04,20
2017-05,22
2017-06,31
2017-07,11
2017-08,21
2017-09,8
2017-10,19
2017-11,23
2017-12,15
2018-01,20
2018-02,22
2018-03,18
2018-04,18
2018-05,15
2018-06,18
2018-07,25
2018-08,14
2018-09,25
2018-10,32
2018-11,62
2018-12,15
2019-01,21
2019-02,26
2019-03,20
2019-04,18
2019-05,22
2019-06,19
2019-07,16
2019-08,20
2019-09,18
2019-10,17
2019-11,19
2019-12,13
2020-01,19
2020-02,16
2020-03,14
2020-04,14
2020-05,13
2020-06,12
2020-07,23
2020-08,26
2020-09,25
2020-10,29
2020-11,23
2020-12,45
